City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Qaanaaq,GL,77.484,-69.3632,-6.9,83,100,5.39,overcast clouds
150,Sur,OM,22.5667,59.5289,78.84,65,6,4.18,clear sky
151,Jumla,NP,29.2747,82.1838,52.41,31,1,2.93,clear sky
152,Roald,NO,62.5833,6.1333,51.94,30,20,20.71,few clouds
153,Isangel,VU,-19.55,169.2667,83.01,68,94,8.59,overcast clouds
154,Mount Gambier,AU,-37.8333,140.7667,60.49,57,90,7.23,overcast clouds
155,Kapaa,US,22.0752,-159.319,77.32,74,40,12.66,scattered clouds
156,Aktau,KZ,43.65,51.2,45.18,59,100,22.95,overcast clouds
157,Tautira,PF,-17.7333,-149.15,77.7,78,79,5.84,broken clouds
158,Laguna,US,38.421,-121.4238,55.31,70,0,4.61,clear sky
159,Bathsheba,BB,13.2167,-59.5167,79.63,80,64,16.37,broken clouds
160,La Esperanza,GT,14.8667,-91.5667,53.08,97,88,7.07,overcast clouds
161,Victoria,HK,22.2855,114.1577,80.96,81,55,8.01,broken clouds
162,Piacabucu,BR,-10.4056,-36.4344,75.52,87,17,8.5,few clouds
163,Udachnyy,RU,66.4167,112.4,-15.99,99,98,3.51,overcast clouds
164,Eureka,US,40.8021,-124.1637,45.79,95,21,4.12,few clouds
165,Khash,IR,28.2211,61.2158,58.21,31,0,1.81,clear sky
166,Kodiak,US,57.79,-152.4072,42.85,95,100,14.03,overcast clouds
167,Dayong,CN,25.0209,118.2898,84.07,53,22,1.12,few clouds
168,Avarua,CK,-21.2078,-159.775,77.05,69,71,14.97,broken clouds
169,Belyy Yar,RU,53.6039,91.3903,27.86,60,0,17.9,clear sky
170,Todos Santos,MX,23.45,-110.2167,73.65,69,51,5.26,broken clouds
171,Fort Dodge,US,42.4975,-94.168,19.54,86,100,8.05,overcast clouds
172,Herat,AF,34.5,62.0,52.43,31,75,6.53,broken clouds
173,Port-Cartier,CA,50.0334,-66.8654,25.02,96,100,16.13,snow
174,Springfield,US,37.2153,-93.2982,26.46,73,0,5.75,clear sky
175,Chara,RU,56.9064,118.2631,17.28,84,100,0.78,overcast clouds
176,Humaita,BR,-7.5061,-63.0208,73.99,94,97,1.36,overcast clouds
177,Katsuura,JP,35.1333,140.3,61.02,67,96,15.82,overcast clouds
178,Vao,NC,-22.6667,167.4833,76.8,81,94,10.78,overcast clouds
179,Ahipara,NZ,-35.1667,173.1667,66.85,80,100,8.99,light rain
180,Altay,CN,47.8667,88.1167,25.95,51,98,6.06,overcast clouds
181,Nazilli,TR,37.9163,28.3223,50.11,87,22,2.62,few clouds
182,Northam,GB,51.0333,-4.2167,50.4,91,100,19.19,light rain
183,Bergen,NO,60.392,5.328,41.41,48,0,3.44,clear sky
184,Dekernes,EG,31.0876,31.595,57.33,80,0,5.21,clear sky
185,Bethel,US,41.3712,-73.414,41.31,74,94,1.01,overcast clouds
186,Lasa,IT,46.6166,10.7002,36.01,76,73,2.1,broken clouds
187,Yumen,CN,40.2833,97.2,41.22,24,15,22.86,few clouds
188,Brownwood,US,31.7093,-98.9912,47.52,74,99,3.98,overcast clouds
