City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Sagae,JP,51.78,broken clouds,38.3725,140.2725,Hotel Symphony
108,Margate,GB,52.7,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
109,Ushuaia,AR,53.26,broken clouds,-54.8,-68.3,Albatross Hotel
112,Rio Gallegos,AR,50.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
119,Husavik,IS,44.71,overcast clouds,66.0449,-17.3389,Bjarnabúð
129,Mehamn,NO,42.75,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
133,Te Anau,NZ,57.85,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
137,Goba,ET,45.86,clear sky,7.0167,39.9833,Coffee house and clean bed room
144,Lebu,CL,55.81,broken clouds,-37.6167,-73.65,Hostal Las Lilas
151,Jumla,NP,52.41,clear sky,29.2747,82.1838,Royal Garden Hotel
152,Roald,NO,51.94,few clouds,62.5833,6.1333,Flem Cabins
156,Aktau,KZ,45.18,overcast clouds,43.65,51.2,Silk Way Hotel
158,Laguna,US,55.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
160,La Esperanza,GT,53.08,overcast clouds,14.8667,-91.5667,Posada Don Teco
164,Eureka,US,45.79,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
165,Khash,IR,58.21,clear sky,28.2211,61.2158,Mahmud's House
166,Kodiak,US,42.85,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
172,Herat,AF,52.43,broken clouds,34.5,62.0,
181,Nazilli,TR,50.11,few clouds,37.9163,28.3223,Gül Palast
182,Northam,GB,50.4,light rain,51.0333,-4.2167,Durrant House Hotel
183,Bergen,NO,41.41,clear sky,60.392,5.328,Clarion Collection Hotel Havnekontoret
184,Dekernes,EG,57.33,clear sky,31.0876,31.595,زكريا عبد الفتاح سليم
185,Bethel,US,41.31,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
187,Yumen,CN,41.22,few clouds,40.2833,97.2,
188,Brownwood,US,47.52,overcast clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
204,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
209,Korem,ET,48.47,few clouds,12.5058,39.5228,Lakomeliza Hotel
213,Nuevo Progreso,MX,52.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
214,Andijon,UZ,43.88,few clouds,40.7821,72.3442,"Hotel ""Bog'ishamol"""
215,Ishinomaki,JP,53.6,broken clouds,38.4167,141.3,Ishinomaki Grand Hotel
